base_subject,base_field,target_subject,target_field,mappings
planet formation,Astronomy,mountain formation,Geology,"Nebula : Magma
Dust clouds : Rocks
Gravity : Tectonic Plates
Planetary disc : Sediment
Core Accretion : Erosion"
star formation,Astronomy,mountain formation,Geology,"Nebula : Magma
Gravity : Tectonic Plates
Hydrogen : Sediments
Heat : Pressure
Light : Volcanic Activity"
stars,Astronomy,rocks,Geology,"Light : Minerals
Gaseous Material : Magma
Nuclear Fusion : Volcanic Eruption
Planetary System : Plate Tectonics
Galaxies : Mountains"
learning,Psychology,socialization,Sociology,"Knowledge : customs
Memory : values
Habits : roles
Experience : norms
Motivation : relationships"
star formation,Astronomy,storm formation,Meteorology,"Nebula : clouds
Gravity : wind
Fusion : lightning
Accretion disk : thunder
Molecular cloud : precipitation"
planetary orbits,Astronomy,plate tectonics,Geology,"Planets : Continents
Gravity : Earth's Mantle
Distance : Oceanic Basins
Revolution : Drift of Plates
Ellipses : Crustal Plates"
reaction kinetics,Chemistry,stellar evolution,Astronomy,"Rate of reaction : rate of mass transfer
Reactants : stars
Products : stellar remnants
Activation energy : energy from nuclear fusion
Catalyst : gravitational force"
planets,Astronomy,rocks,Geology,"Orbits : Strata
Moons : Boulders
Asteroids : Pebbles
Comets : Sand
Meteors : Dust"
DNA,Genetics,Human behavior,Psychology,"Genes : Traits
Chromosomes : Characteristics
Replication : Development
Mutation : Change
Transcription : Expression"
stars,Astronomy,mountains,Geology,"Gravitational force : tectonic plates
Core : magma chamber
Surface : rocky outcrops
Light : visible peaks
Age : erosion rate
Movement : seismic activity"
migration of birds,Zoology,global weather patterns,Meteorology,"Flyways : Jet Streams
Stops along the way : Atmospheric Pressure Zones
Time of year : Seasons
Destinations : Areas of High or Low Temperature
Speed : Wind Speed"
metabolism,Biochemistry,rock cycle,Geology,"Food : Minerals
Energy : Heat
Cellular respiration : Melting
Photosynthesis : Cooling
Catabolism : Weathering
Anabolism : Erosion"
Solar System,Astronomy,Plate Tectonics,Geology,"Planets : Continents 
Sun : Core 
Orbits : Plates 
Gravity : Faults 
Asteroids : Volcanoes"
stars,Astrophysics,rocks,Geology,"Nuclear fusion : Mineral formation
Gravity : Weathering
Light : Heat
Nebulae : Magma
Planetary systems : Strata"
hydrocarbons,Organic Chemistry,proteins,Biochemistry,"Carbon atoms : amino acids
Hydrogen atoms : peptide bonds
Alkanes : primary structure
Alkenes : secondary structure
Alkyl groups : tertiary structure
Aromatic rings : quaternary structure"
DNA,Genetics,Planetary System,Astrophysics,"Nucleotide : Planet
Gene : Solar System
Chromosomes : Star
Genome : Galaxy
Organisms : Universe"
stars,Astronomy,clouds,Meteorology,"Nebulae : Cumulus
Planets : Cirrus
Galaxies : Stratus
Supernovae : Cumulonimbus
Gravity : Wind"
soil formation,Geology,artifact preservation,Archaeology,"Weathering : Natural Deterioration
Erosion : Human Interaction
Sedimentation : Protective Measures
Mineral Growth : Conservation
Organic Matter : Documentation"
planets,Astronomy,countries,Geography,"Orbits : Borders
Asteroids : Islands
Moons : States
Stars : Cities
Galaxies : Continents"
animal behavior,Zoology,human behavior,Psychology,"Instinct : Instinct
Habituation : Learning
Conditioning : Conditioning
Communication : Language
Socialization : Socialization"
Earthquake,Geology,Tornado,Meteorology,"Seismic waves : Wind
Earth's crust : Atmosphere
Fault line : Vortex
Tremors : Rotating winds
Shockwaves : Funnel clouds"
Bee behavior,Entomology,Group behavior,Sociology,"Pollination : Networking
Hive : Community
Queen : Leader
Workers : Followers
Dance : Communication"
atomic structure,Chemistry,star formation,Astrophysics,"Electrons : dust
Protons : gas
Nucleus : protostar
Atoms : star
Energy : radiation"
cell division,Biology,continental drift,Geography,"Chromosomes : Plates
Mitosis : Movement
Cell membrane : Boundaries
Nucleus : Continents
Cytokinesis : Subduction"
atomic structure,Chemistry,weather patterns,Meteorology,"Atom : Atmospheric system
Nucleus : Low pressure system
Electron : High pressure system
Proton : Temperature
Neutron : Wind"
solar system,Astronomy,sedimentary rock,Geology,"Sun : Sediment
Planets : Layers
Orbit : Stratification
Asteroids : Particles
Gravity : Pressure"
DNA,Genetics,chemical bonds,Chemistry,"Genes : Molecules
Base pairs : Atoms
Replication : Bonding
Mutation : Reactions
Chromosomes : Compounds"
DNA,Biochemistry,currency,Economics,"Replication : Printing
Sequence : Denomination
Base pairs : Coins
Mutations : Counterfeiting
Transcription : Exchange"
stars,Astronomy,weather,Meteorology,"Nebula : Clouds
Fusion : Wind
Gravity : Pressure
Light : Sunlight
Movement : Temperature"
solar system,Astronomy,world map,Geography,"Sun : North Pole
Planets : Continents
Moons : Islands
Orbits : Ocean Currents
Asteroid Belt : Equator"
learning process,Psychology,robot behavior,Robotics,"Cognitive : Artificial Intelligence
Associative : Sensors
Behavioral : Programming
Conditioning : Feedback Loops
Memory : Storage Capacity"
solar system,Astronomy,mountain range,Geology,"Planets : Peaks
Sun : Base
Orbits : Valleys
Asteroids : Crags
Comets : Slopes"
DNA,Genetics,programming language,Computer Science,"Genes : Variables
Chromosomes : Algorithms
Nucleosomes : Logic
Ribosomes : Syntax
Proteins : Operators"
social interaction,Sociology,government,Political Science,"Dialogue : debate
Interaction : legislation
Collaboration : policy
Empathy : diplomacy
Trust : democracy"
DNA,Biochemistry,computer code,Computer Science,"Nucleotides : Lines of code
Genes : Functions
Base pairs : Variables
Chromosomes : Files
Replication : Copying and pasting"
rock formation,Geology,planetary system,Astronomy,"Sedimentary : Terrestrial
Metamorphic : Jovian
Igneous : Asteroid
Layers : Planets
Folds : Moons"
DNA,Genetics,computer programming,Computer Science,"Base Pairs : Syntax
Genes : Functions
Chromosomes : Algorithms
Replication : Debugging
Mutation : Modification"
Plate Tectonics,Geology,Airplane Design,Aeronautics,"Continental Drift : Aircraft Body Design
Earth's Crust : Wing Design
Magma : Engine Design
Volcanoes : Flight Controls
Mountain Ranges : Weight Distribution"
air pressure,Meteorology,gravity,Astrophysics,"Atmosphere : Universe
High pressure : High gravity
Low pressure : Low gravity
Wind : Celestial bodies
Turbulence : Orbit"
hydrocarbons,Organic Chemistry,fossil fuels,Geology,"Carbon : Petroleum
Hydrogen : Natural Gas
Alkanes : Coal
Alkenes : Shale
Alkynes : Oil Sands"
DNA,Genetics,Artificial Intelligence,Robotics,"Gene : Algorithm
Nucleotide : Programming Language
Replication : Machine Learning
Protein Synthesis : Autonomous Decision Making
Mutation : Error Correction"
greenhouse effect,Climatology,planetary orbits,Astronomy,"Carbon dioxide : Gravity
Sun's energy : Planet
Solar radiation : Orbit
Atmospheric gases : Mass
Global warming : Centripetal force"
star formation,Astrophysics,chemical reactions,Chemistry,"Gas clouds : molecules
Gravity : bonds
Nuclear fusion : breakdown
Ionization : reaction
Young stars : products"
chemical reactions,Chemistry,tectonic plates,Geology,"Reactants : Plates
Product : Earthquakes
Enzyme : Friction
Catalyst : Subduction
Heat : Magma"
planetary orbits,Astronomy,continental drift,Geography,"Gravitational force : Earth's tectonic plates
Planets : Continents
Elliptical orbits : Movement of the plates
Sun : Core of the Earth
Orbital speed : Speed of the drift"
stars,Astronomy,fossils,Geology,"Gravitational pull : sedimentary pressure
Nuclear fusion : organic remains
Nebulas : geological layers
Planets : ancient organisms
Light : petrified remains"
rock cycle,Geology,food cycle,Ecology,"Weathering : Prey
Erosion : Predation
Igneous Formation : Reproduction
Sedimentary Formation : Decomposition
Metamorphic Formation : Respiration"
photosynthesis,Biology,data processing,Computer Science,"Light : Input
Carbon dioxide : Raw Data
Chlorophyll : Processor
Water : Memory
Glucose : Output
Oxygen : Results"
chemical reactions,Chemistry,stellar evolution,Astronomy,"Atoms : Stars
Molecules : Galaxies
Energy : Energy released by stars
Bonds : Gravitational pull
Reactants : Raw materials"
atomic structure,Chemistry,star system,Astronomy,"Atom : Star
Proton : Core
Electron : Planet
Nucleus : Solar System
Atomic Orbitals : Planetary Orbits"
rock formation,Geology,chemical reaction,Chemistry,"Crystals : molecules 
Pressure : heat
Folding : mixing
Layers : products
Melting : reaction"
human behavior,Psychology,social norms,Sociology,"Thoughts : Beliefs
Emotions : Values
Actions : Practices
Motives : Traditions
Impulses : Customs"
acid-base reactions,Chemistry,social interaction,Sociology,"Acid : Aggressor
Base : Victim
Reaction : Response
Products : Outcome
Equilibrium : Balance"
Cell Biology,Biology,Rocks,Geology,"Nucleus : Core
Cell Membrane : Crust
Ribosomes : Minerals
Mitochondria : Magma
Cytoplasm : Elements"
stars,Astronomy,minerals,Geology,"Nebula : Magma
Nuclear Fusion : Formation
Gravity : Pressure
Light : Crystal Structure
Heat : Hardness"
neuron,Neuroscience,transistor,Electronics,"Dendrites : Input Lead
Cell Body : Silicon Chip
Axon : Output Lead
Synapse : Gate
Neurotransmitters : Voltage"
Milky Way galaxy,Astronomy,mountain range,Geology,"Star : Peak
Nebula : Valley
Interstellar medium : Plateau
Dust : Rocky soil
Gravity : Erosion"
Earth's crust,Geology,Solar System,Astronomy,"Continental plates : Planets
Tectonic activity : Rotations
Magma : Gravity
Rock formations : Moons
Fossils : Asteroids"
DNA,Molecular Biology,stars,Astrophysics,"Genes : elements
Nucleotides : protons
Base pairs : neutrons
Chromosomes : nuclei
Cells : stars"
stellar evolution,Astronomy,rock cycle,Geology,"Nuclear fusion : melting
Nebula : magma
Protostar : intrusive rocks
Main Sequence Star : sedimentary rocks
Red Giant : metamorphic rocks 
White Dwarf : uplifting and erosion"
chemical equation,Chemistry,star formation,Astronomy,"Reactants : Dust and Gas
Products : New Star
Molecules : Interstellar Medium
Energy : Heat and Pressure
Atom : Interstellar Cloud"
rock formations,Geology,cloud formation,Meteorology,"Mineral composition : Atmospheric composition
Weathering : Condensation
Stratification : Rising air
Volcanic activity : Fronts
Folding : Wind patterns"
clouds,Meteorology,sedimentary rocks,Geology,"Condensation : Compaction
Precipitation : Cementation
Rain : Sandstone
Fog : Shale
Ice : Limestone"
Social norms,Sociology,Financial regulations,Economics,"Cultural rules : Government laws
Acceptable behavior : Tax regulations
Sanctions : Penalties
Expectations : Financial rules
Values : Monetary policies"
DNA,Genetics,Protein,Biochemistry,"Nucleotide : Amino Acid
Base pair : Polypeptide
Gene : Enzymes
Replication : Synthesis
RNA : Structural Proteins"
atomic structure,Chemistry,electromagnetism,Physics,"Protons : Electric Charge
Neutrons : Magnetic Field
Electrons : Electric Current
Atoms : Electromagnetic Field
Bonds : Forces"
planets,Solar System Astronomy,continents,Geography,"Sun : Earth
Orbits : Latitudes and Longitudes
Gravitational Forces : Tectonic Plates
Atmospheres : Climate
Surface Features : Physical Features"
DNA,Biology,Programming,Computer Science,"Gene : Function
Nucleotide : Line of Code
Chromosome : Program
Replication : Copying and Pasting
Mutation : Debugging"
aircraft,Aeronautics,bird,Zoology,"Aircraft : Bird
Wings : Feathers
Engines : Wings
Fuselage : Body
Cockpit : Head
Propeller : Beak"
language,Anthropology,equations,Mathematics,"Grammar : structure
Syntax : variables
Semantics : values
Vocabulary : operators
Symbols : solutions"
DNA,Genetics,Binary code,Computer Science,"Gene : Bit
Chromosomes : Byte
Nucleotide : Binary Digit
Molecule : String of Bits
DNA : Binary Code"
Rayleigh Scattering,Optics,Rainbows,Meteorology,"Molecular scattering : Reflection & Refraction 
Atmospheric particles : Raindrops
Sunlight : Sun's rays
Longer wavelength : Red, Orange, Yellow
Shorter wavelength : Blue, Violet"
culture,Sociology,language,Anthropology,"Customs : Dialects
Social Structure : Vocabulary
Beliefs : Grammar
Values : Regional Accents
Norms : Syntax"
earthquake,Geology,meteor shower,Astronomy,"Fault line : Comet's orbit
Energy release : Light from burning meteors
Seismic waves : Meteor fragments
Earthquake epicenter : Point of origin of the meteor shower
Aftershock : Afterglow of the meteor shower"
electromagnetism,Physics,black holes,Astronomy,"Electric fields : gravity
Magnetic fields : space-time
Electric current : matter
Faraday's law : Einstein's theory of relativity
Induction : event horizon"
solar system,Astronomy,rock cycle,Geology,"Sun : molten magma
Planets : cooling magma
Asteroids : sedimentary rocks
Comets : metamorphic rocks
Meteorites : igneous rocks"
solar system,Astronomy,continent,Geography,"Sun : Landmass
Planets : Countries
Orbit : Borders
Asteroid Belt : Oceans
Comets : Islands"
planetary orbits,Astronomy,tectonic plates,Geology,"Gravitational pull : Earth's mantle
Planetary rotation : movement of crust
Elliptical path : boundaries between plates
Axial tilt : direction of movement
Period of revolution : speed of movement"
chemical bonds,Chemistry,planetary orbits,Astronomy,"Atoms : Planets
Molecules : Solar System
Ionic : Gravitational
Covalent : Elliptical
Hydrogen : Orbital"
stars,Astronomy,elements,Chemistry,"Nebulae : Atomic Nuclei
Gravity : Atomic Bonds
Light : Electrons
Constellations : Molecules
Galaxies : Compounds"
atomic structure,Chemistry,solar system,Astronomy,"Proton : Sun
Neutron : Planets
Electron : Moons
Nucleus : Asteroids
Atom : Comets"
animal habitat,Zoology,geographic region,Geography,"Animals : People
Food : Resources
Climate : Environment
Terrain : Landforms
Geographic area : Political boundaries"
Photosynthesis,Biology,Light Refraction,Physics,"Light : Rays
Chloroplast : Prism
Carbon Dioxide : Angle
Water : Refracted Beam
Sugars : Split Colors"
gene expression,Genetics,marketing strategy,Business,"Promoter : Advertisement
Transcription : Production
Translation : Distribution
Regulator : Pricing
Expression : Promotion"
stars,Astronomy,organisms,Ecology,"Nebula : Habitat
Supernova : Migration
Black Hole : Adaptation
Gravity : Competition
Light : Food source"
stellar evolution,Astrophysics,rock cycle,Geology,"Nuclear fusion : Erosion
Heat transfer : Weathering
Stellar temperature : Heat
Star formation : Compaction
Stellar death : Melting"
Solar System,Astronomy,Mountain System,Geology,"Sun : Peak
Planets : Valleys
Asteroids : Plateaus
Comets : Ridges
Nebulae : Canyons"
star formation,Astronomy,rock formation,Geology,"Nebula : Magma
Heat : Pressure
Gravity : Time
Clouds of Gas : Molten Rock
Accretion Disk : Sedimentary Rock"
wave-particle duality,Quantum Physics,cognitive dissonance,Psychology,"Wave : belief
Particle : behavior
Behavior-belief conflict : cognitive dissonance
Wavelength : value system
Frequency : attitude 
Amplitude : intensity of emotion"
DNA,Genetics,Stars,Astronomy,"Nucleic Acid : Hydrogen and Helium
Base Pairs : Atomic Particles
Gene : Nuclear Fusion
Chromosome : Planetary System
Replication : Supernova"
solar system,Astronomy,world government,Political Science,"Sun : United Nations
Planets : Member States
Orbits : International Law
Gravity : Diplomatic Relations
Asteroids : Non-state Actors"
stars,Astronomy,Atomic particles,Physics,"Planets : Protons
Solar System : Nucleus
Light : Electrons
Gravity : Neutrons
Galaxies : Quarks"
food chain,Ecology,energy flow,Engineering,"Producer : Solar Energy
Consumer : Electricity
Herbivore : Generator
Carnivore : Transformer
Decomposer : Storage Unit"
chemical reaction,Chemistry,market analysis,Business,"Reactants : Consumers
Products : Goods
Catalyst : Advertisement
Activation Energy : Cost
Equilibrium : Market Share"
galaxies,Astronomy,mountain ranges,Geography,"Star systems : peaks
Black holes : deep valleys 
Gravitational force : erosional force
Space dust : sediment
Interstellar clouds : clouds"
kinetic energy,Physics,wind energy,Climatology,"Motion : Wind
Object : Turbine
Speed : Velocity
Work : Generation
Force : Pressure"
DNA,Genetics,Molecule,Chemistry,"Amino Acids : Atoms
Genes : Chemical Bonds
Chromosomes : Chemical Compounds
Base Pairs : Molecules
Nucleotides : Chemical Reactions"
rock formation,Geology,personality formation,Psychology,"Minerals : Traits
Stratification : Socialization
Heat and Pressure : Environment
Faulting : Experiences
Weathering : Reflection"
wave-particle duality,Quantum Mechanics,Supply and demand,Economics,"Wave : consumer demand
Particle : quantity of goods
Amplitude : changes in price
Frequency : stability of prices
Interference : market forces"
graph theory,Mathematics,social networks,Sociology,"Vertices : individuals
Edges : relationships
Paths : communication
Connected Graph : connected community
Weighted Graph : ranking of relationships"
rock formation,Geology,storm formation,Meteorology,"Tectonic plates : Jet Streams
Volcanic activity : Heat
Cooling and hardening : Moisture
Weathering and erosion : Pressure
Sediment : Wind"
gene expression,Genetics,social interaction,Sociology,"DNA : behavior
Transcription : communication
Translation : dialogue
Proteins : relationships
Regulation : cooperation"
cell cycle,Biology,human behavior,Psychology,"Chromosome replication : Thinking
Cell division : Choosing
Cell growth : Learning
Cell specialization : Acting
Cell death : Ending"
star,Astronomy,mineral deposit,Geology,"Nuclear fusion : Magmatic Intrusion
Heat : Heat
Gravitational pull : Pressure
Light : Erosion
Constellation : Ore Vein"
hydrocarbons,Organic Chemistry,stars,Astronomy,"Carbon : hydrogen/helium
Molecule : star
Atoms : planets
Bonds : orbits
Reactions : stellar evolution"
rocket propulsion,Space Exploration,airplane propulsion,Aeronautics,"Solid fuel : jet fuel
Rocket nozzle : jet engine
Thrust : lift
Exhaust : exhaust
Heat : air pressure"
nanomaterials,Nanotechnology,proteins,Biochemistry,"
Atoms : Amino Acids
Molecules : Polypeptide Chains
Surface Area : Receptor Sites
Synthesis : Synthesis
Stability : Stability"
DNA,Genetics,Light,Physics,"Molecule : Photon
Base pairs : Wavelength
Gene : Frequency
Transcription : Reflection
Replication : Refraction"
energy,Physics,reactants,Chemistry,"Kinetic energy : Activation energy
Potential energy : Reactant concentration
Thermal energy : Temperature
Mechanical energy : Pressure
Radiant energy : Catalyst"
emotional intelligence,Psychology,diplomatic relations,Political Science,"Self-awareness : Cultural Awareness
Self-regulation : Negotiation Skills
Motivation : Empathy
Empathy : Conflict Resolution
Social Skills : Diplomatic Strategies"
insect metamorphosis,Entomology,rock formation,Geology,"Egg : Igneous Rock
Larva : Sedimentary Rock
Pupa : Metamorphic Rock
Adult : Erosion
Molting : Weathering"
DNA,Genetics,coding,Software Engineering,"Base pairs : Lines of code
Nucleotides : Variables
Gene : Function
Chromosome : File
DNA strand : Program"
volcanic eruption,Geology,thunderstorm,Meteorology,"Magma : Atmospheric moisture
Lava flow : Warm air
Air pressure : Wind
Ash : Clouds
Lightning : Volcanic lightning"
rock formation,Geology,galaxy formation,Astronomy,"Minerals : Stars
Layers : Constellations
Folding : Collision
Weathering : Gravitational Pull
Erosion : Expansion"
chemical reactions,Chemistry,social interactions,Sociology,"Reactants : People
Products : Outcomes
Catalyst : Facilitator
Energy : Emotional state
Equilibrium : Balance"
Solar System,Astronomy,Earth's Interior,Geology,"Planets : Tectonic Plates
Sun : Core
Asteroid Belt : Mantle
Kuiper Belt : Outer Core
Oort Cloud : Crust"
plate tectonics,Geology,stellar evolution,Astrophysics,"Convergent plate boundaries : Protostar
Divergent plate boundaries : Nebula
Transform plate boundaries : Young Star
Continental plates : Main Sequence Star
Oceanic plates : Red Giant Star"
radioactive decay,Nuclear Physics,rock formation,Geology,"Nucleus : Mineral
Radioactive particles : Sediment
Half-life : Time
Atomic decay : Erosion
Radioactive energy : Heat"
chemical bonds,Chemistry,stellar formation,Astrophysics,"Covalent bond : gravitational force
Ionic bond : dust and gas
Hydrogen bond : space dust
Molecule : protostar
Atomic nucleus : stellar core"
rocket propulsion,Aerospace Engineering,car engine,Automotive Engineering,"Combustion chamber : cylinder
Fuel : gasoline
Igniter : spark plug
Thrust : power
Exhaust : exhaust pipe"
food chain,Ecology,network,Computer Science,"Producer : server
Consumer : client
Predator : firewall
Prey : data packets
Energy : bandwidth"
food web,Ecology,social network,Sociology,"Predator : Influencer
Prey : Follower
Herbivore : User
Producer : Creator
Decomposer : Moderator"
Solar System,Astronomy,Global Governance,Political Science,"Sun : Central Government
Planets : Countries
Moons : States
Asteroids : Minor States
Comets : Organizations"
